Content-based image retrieval for fabric images: A survey,"In recent years, a great deal of research has been conducted in the area of fabric image retrieval, especially the identification and classification of visual features. One of the challenges associated with the domain of content-based image retrieval (CBIR) is the semantic gap between low-level visual features and high-level human perceptions. Generally, CBIR includes two main components, namely feature extraction and similarity measurement. Therefore, this research aims to determine the content-based image retrieval for fabric using feature extraction techniques grouped into traditional methods and convolutional neural networks (CNN). Traditional descriptors deal with low-level features, while CNN addresses the high-level, called semantic features. Traditional descriptors have the advantage of shorter computation time and reduced system requirements. Meanwhile, CNN descriptors, which handle high-level features tailored to human perceptions, deal with large amounts of data and require a great deal of computation time. In general, the features of a CNN's fully connected layers are used for matching query and database images. In several studies, the extracted features of the CNN's convolutional layer were used for image retrieval. At the end of the CNN layer, hash codes are added to reduce search time. © 2021 Institute of Advanced Engineering and Science. All rights reserved.",CBIR CNN Fabric image Feature extraction Traditional descriptor 
Autocorrection of lung boundary on 3D CT lung cancer images,"Lung cancer in men has the highest mortality rate among all types of cancer. Juxta-pleural and juxta-vascular are the most common nodules located on the lung surface. A computer aided detection (CADe) system is effective for assisting radiologists in diagnosing lung nodules. However, the lung segmentation step requires sophisticated methods when juxta-pleural and juxta-vascular nodules are present. Fast computational time and low error in covering nodule areas are the aims of this study. The proposed method consists of five stages, namely ground truth (GT) extraction, data preparation, tracheal extraction, separation of lung fusion and lung border correction. The used data consist of 57 3D CT lung cancer images taken from selected LIDC-IDRI dataset. These nodules are determined as the outer areas labeled by four radiologists. The proposed method achieves the fastest computational time of 0.32 s per slice or 60 times faster than that of conventional adaptive border marching (ABM). Moreover, it produces under segmentation of nodule value as low as 14.6%. It indicates that the proposed method has a potential to be embedded in the lung CADe system to cover pleural juxta and vascular nodule areas in lung segmentation. © 2019 The Authors",Boundary correction; CADe system; Lung; Segmentation 
Developing Machine Learning Framework to Classify Harmonized System Code. Case Study: Indonesian Customs,"Directorate General of Customs and Excise (DGCE), an Indonesian Government agency under the Ministry of Finance, is responsible for ensuring importer or exporter classify their declared goods based on the Harmonized System Code (HS Code). This study aims to find an optimal machine learning framework to classify goods into their HS Code based on the challenges DGCE faced, such as mixed language with an inconsistent pattern of goods descriptions, imbalance multiclass HS Code, and some additional categorical variables. Refer to some previous studies that propose some machine learning models to predict the HS Code based on goods descriptions. This study tries to make some improvements and adjustments in line with the previously mentioned challenges faced by DGCE. Some preprocessing tasks were performed, such as dealing with abbreviations, misspellings, the varying pattern of goods description, and translating Indonesian words into English. One Hot Coding (OHC) is applied to encode nominal and categorical variables. To make features from goods descriptions, we choose Term Frequency-Inverse Document Frequency (TF-IDF) combined with bigrams. As a result, our models show that Random Forest got an F1-score of 79.60% when classifying the HS Code's first four digits, and Multinomial NB got an F1-score of 72.74% when classifying the HS Code's entire digits. Compared to the baseline paper, those scores are 11.26% and 11.36% higher, respectively. © 2021 IEEE.",HS code; Indonesian customs; machine learning Decision trees; Machine learning; Optimal systems; Text processing; Categorical variables; F1 scores; Government agencies; Machine learning models; Multinomials; One hot coding; System codes; Term frequencyinverse document frequency (TF-IDF); Codes (symbols)
Suction-based Grasp Point Estimation in Cluttered Environment for Robotic Manipulator Using Deep Learning-based Affordance Map,"Perception and manipulation tasks for robotic manipulators involving highly-cluttered objects have become increasingly in-demand for achieving a more efficient problem solving method in modern industrial environments. But, most of the available methods for performing such cluttered tasks failed in terms of performance, mainly due to inability to adapt to the change of the environment and the handled objects. Here, we propose a new, near real-time approach to suction-based grasp point estimation in a highly cluttered environment by employing an affordance-based approach. Compared to the state-of-the-art, our proposed method offers two distinctive contributions. First, we use a modified deep neural network backbone for the input of the semantic segmentation, to classify pixel elements of the input red, green, blue and depth (RGBD) channel image which is then used to produce an affordance map, a pixel-wise probability map representing the probability of a successful grasping action in those particular pixel regions. Later, we incorporate a high speed semantic segmentation to the system, which makes our solution have a lower computational time. This approach does not need to have any prior knowledge or models of the objects since it removes the step of pose estimation and object recognition entirely compared to most of the current approaches and uses an assumption to grasp first then recognize later, which makes it possible to have an object-agnostic property. The system was designed to be used for household objects, but it can be easily extended to any kind of objects provided that the right dataset is used for training the models. Experimental results show the benefit of our approach which achieves a precision of 88.83%, compared to the 83.4% precision of the current state-of-the-art. © 2021, Institute of Automation, Chinese Academy of Sciences and Springer-Verlag GmbH Germany, part of Springer Nature.",blue and depth (RGBD) channel image; cluttered environment; Grasping point estimation; green; household objects; red; semantic segmentation Deep neural networks; Flexible manipulators; Image segmentation; Industrial manipulators; Industrial robots; Object recognition; Pixels; Problem solving; Robotics; Semantics; Cluttered environments; Computational time; Industrial environments; Manipulation task; Probability maps; Problem Solving methods; Robotic manipulators; Semantic segmentation; Deep learning
Computer aided diagnosis for thyroid cancer system based on internal and external characteristics,"Background and aims: Thyroid cancer is one of the fastest growing cancers worldwide. Thyroid ultrasound images are diagnosed based on several characteristics to determine the malignancy of the nodule. The characteristics are divided into two, i.e. external characteristics and internal characteristics. A computer-aided diagnosis (CADx) is necessary to assist radiologists in analysing these characteristics more objectively. Methods: Firstly, a pre-processing step was applied to remove label and reduce speckle noise by applying adaptive median filter followed by bilateral filter. Secondly, active contour and morphology operation were applied to segment the nodules. Subsequently, geometric and texture features were extracted. In the final step, multilayer perceptron was used to classify internal characteristics while support vector machine was used for classifying external characteristics. Results: The sensitivity, specificity and accuracy of nodule classification based on analysis of external characteristics were 100%, 95.45% and 97.78%, respectively, whereas classification results based on internal characteristics were 95.35%, 90.91% and 94.44%, respectively. Conclusion: A computer-aided diagnosis (CADx) for thyroid cancer system based on analysis of external and internal characteristics has been developed. The sensitivity, specificity and level of accuracy for both characteristics showed that the proposed system was reliable to assist radiologist in classifying thyroid nodules. © 2019 The Authors",Computed aided diagnosis; External characteristics; Internal characteristics; Thyroid cancer 
Analysis of Retinal Nerve Fiber Layer for Classification of Glaucoma,"Glaucoma is the second leading causes of blindness beside of cataracts. In the glaucoma examination, determining the disease is very difficult since the symptoms are difficult to find. The ophthalmologists usually use the disc damage likelihood score (DDLS) in examining the optic nerve damage which is very complicated. Glaucoma can also be detected by looking at damage of retinal nerve fiber layer (RNFL) which is characterized by the loss of nerve fiber around the optic nerve head (ONH). However, manual examination became less effective and less efficient since it required specific skills and needed more time to finish the examination. This research aimed to develop a scheme for detecting glaucoma disease based on retinal nerve fiber layer features. First order statistic feature was used to recognize the characteristic of RNFL. These features were mean, standard deviation, skewness, energy, entropy, smoothness, min and max. The info gain feature selection was used to select features with the most dominant influence. Then, the selected feature was used to classify the image into a normal class or glaucoma. Retinal image classification results between normal class and glaucoma using radial basis function network (RBFN) classifier obtained accuracy of 90.00%, sensitivity of 93.33%, and specificity of 86.67%. These results indicated that the proposed method could assist the ophthalmologist in early detection of glaucoma disease on retinal fundus image based on retinal nerve fiber layer features. © 2021 IEEE.",blindness; glaucoma; RBFN classifier; retina disease; RNFL characteristic Damage detection; Feature extraction; Fibers; Image classification; Ophthalmology; Radial basis function networks; Glaucoma disease; Likelihood score; Nerve damage; Nerve fibers; Network classifiers; Optic nerve; Radial base function network classifier; Retina disease; Retinal nerve fiber layer characteristic; Retinal nerve fiber layers; Eye protection
A Combination of Query Expansion Ranking and GA-SVM for Improving Indonesian Sentiment Classification Performance,"The sentiment classification method is a research field that is proliferating in Indonesia since it is fast in extracting public opinion and provides essential and valuable information for stakeholders. Of the best-performing sentiment classification approaches, machine learning is one of them that has excellent performance. However, the method has several problems, such as noisy features and high dimensionality of features that significantly affect the sentiment classification performance. Therefore, to overcome the problems, this paper presents a novel feature selection using a combination of Query Expansion Ranking (QER) and Genetic Algorithm-Support Vector Machine (GA-SVM) for improving sentiment classification performance. Based on the experimental results, the proposed method could significantly improve sentiment classification performance, outperform all state-of-the-art algorithms, and decrease computational time. The method achieved the best performance in average precision, recall, and f-measure with the value of 96.78%, 96.76%, and 96.75%, respectively. © 2021 Elsevier B.V.. All rights reserved.",Feature Selection; Genetic Algorithm; Machine Learning; Query Expansion Ranking; Sentiment Classification Classification (of information); Feature extraction; Social aspects; Support vector machines; Classification methods; Classification performance; Elsevier; Features selection; Genetic algorithm support vector machines; Machine-learning; Performance; Query expansion; Query expansion ranking; Sentiment classification; Genetic algorithms
Enhancing sentiment classification performance using hybrid Query Expansion Ranking and Binary Particle Swarm Optimization with Adaptive Inertia Weights,"Machine learning-based sentiment classification is the best-performing method to understand public sentiment. However, the method has some problems, such as noisy features and high-dimensional feature space which affect the sentiment classification performance. To address the problems, this paper proposes a new feature selection using hybrid Query Expansion Ranking and Binary Particle Swarm Optimization with Adaptive Inertia Weights. The proposed method was validated using five tweet datasets on different topics both in Indonesian and English, and compared with state-of-the-art of filter and wrapper-based feature selection methods. Experimental results show the proposed method significantly improves sentiment classification performance and decrease computational time. © 2021 The Korean Institute of Communications and Information Sciences (KICS)",Binary Particle Swarm Optimization; Feature selection; Machine learning; Query Expansion Ranking; Sentiment classification 
Night-to-Day Road Scene Translation Using Generative Adversarial Network with Structural Similarity Loss for Night Driving Safety,"Inadequate road infrastructures in developing countries, such as road lighting, is a real life problem affecting their transportation system. A poor road lighting hinders the ability of drivers to perceive the road conditions as well as its objects which may lead to the accident. We address a problem of synthesizing day-time appearance from the night-time road scene using loss-modified generative adversarial network. Our approach basically makes a balance between domain regularization and human perceptual restoration. By taking the night-time image into our enhanced adversarial network, which employs structural similarity loss, we increase its visibility so that the driver can clearly see the road scene like they are driving during the day-time. Experimental results show the benefit of our approach for enhancing the visibility of the night-time view of the road, measured by the image quality metrics. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Deep learning; Generative adversarial networks (GAN); Traffic accidents 
Measurement and Classification Retinal Blood Vessel Tortuosity in Digital Fundus Images,"Analysis and detection of retinal blood vessels structure changes is the most important for diagnosing and detecting retinal diseases. Retinal blood vessels are normally straight or curved gently, but they tend to dilate and expand into twisting with age or the number of retinal disease. Tortuosity is a qualitative parameter used by ophthalmologist to show how blood vessels tortuos such as mild, moderate, severe and extreme as the analysis result remain subjective. To establish the relationship between tortuosity and vascular pathology requires quantitative measurement of tortuosity. This research developed a computer aided diagnosis (CAD) to detect retinal blood vessels before measure the blood vessels tortuosity and classify them. A method of morphological reconstruction is proposed to detect retinal blood vessels. Retinal blood vessel tortuosity was calculated using relative length variation method to classify retinal images. This research is conducted two types classification using K nearest neighbor. The first classification is normal and tortuosity classes. The second classification is moderate and severe tortuosity classes. The evaluation result for retinal blood vessel detection is obtained accuracy of 96.2%. Calculation of retinal blood vessel tortuosity based on relative length variation method because it has the best correlation of 0.892 to grading. The results of retinal blood vessel tortuosity classification between normal and tortuosity classes is obtained the best accuracy of KNN by 93%. The classification between moderate and severe tortuosity classes using KNN obtains accuracy of 100%. The proposed method can assist the ophthalmologist to detect blood vessels and calculate tortuosity of blood vessels to diagnose retinal diseases. © 2020 IEEE.",KNN; morphological reconstruction; relative length variation; Retinal blood vessel tortuosity Blood; Computer aided diagnosis; Grading; Image classification; Nearest neighbor search; Ophthalmology; Computer Aided Diagnosis(CAD); Digital fundus images; K-nearest neighbors; Morphological reconstruction; Qualitative parameters; Quantitative measurement; Retinal blood vessels; Vascular pathology; Blood vessels
Indonesian Sentiment Analysis: An Experimental Study of Four Kernel Functions on SVM Algorithm with TF-IDF,"Recently, Indonesian sentiment analysis is a hot research field, especially for twitter data. Many approaches can be used to classify people's sentiment on Twitter. One of the best methods in sentiment analysis is machine learning. SVM is a machine learning algorithm that has good performance. However, some of the findings of SVM research have different results, which are no better than other algorithms. It is because each study uses a different SVM configuration. Kernel functions on SVM play an essential role in improving SVM performance. Choosing the sui table Kernel function is also crucial for every particular application of SVM. Therefore, to address the problem, we compared four kernel functions on SVM with TF-IDF, such as Polynomial, Sigmoid, Linear, and Radial Basis Function (RBF) kernel. TF-IDF is employed as a feature extraction and selection to improve SVM performance. We used 4000 tweets about omnibus law issues in Indonesia, and 10-fold cross-validation and confusion matrix were employed to validate and evaluate our models. Based on the experimental results, the RBF kernel function on SVM+TF-IDF using 2000 features achieved the best performance of all feature tests in accuracy, precision, recall, and f-measure with value of 96.61%, 96.70%, 96.58%, 96.60%, respectively. Besides, the RBF kernel function obtained high performance when using low dimensionality of the feature. Meanwhile, the Linear kernel function reached the best performance when using high dimensionality of the feature. © 2020 IEEE.",kernel functions; Sentiment Analysis; support vector machine; tf-idf; twitter data Feature extraction; Industrial economics; Machine learning; Sentiment analysis; Social networking (online); Turing machines; 10-fold cross-validation; Confusion matrices; Feature extraction and selection; High dimensionality; Linear kernel functions; Low dimensionality; Radial Basis Function(RBF); RBF kernel function; Learning algorithms
